0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:35:31 +0800] "GET /StudentMsg/main.jsp HTTP/1.1" 200 1046
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:35:37 +0800] "GET /StudentMsg/index.jsp HTTP/1.1" 200 409
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:36:46 +0800] "GET /StudentMsg/index.jsp HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:37:38 +0800] "GET /StudentMsg/index.jsp HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:37:39 +0800] "GET /StudentMsg/index.jsp HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:39:08 +0800] "GET /StudentMsg/main.jsp HTTP/1.1" 200 1046
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:39:10 +0800] "GET /StudentMsg/DELServlet?sno=1002 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:39:10 +0800] "GET /StudentMsg/main.jsp HTTP/1.1" 200 777
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:39:51 +0800] "GET /StudentMsg/add.jsp HTTP/1.1" 200 896
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:39:55 +0800] "POST /StudentMsg/AddServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:40:09 +0800] "POST /StudentMsg/AddServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:40:50 +0800] "POST /StudentMsg/AddServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:41:02 +0800] "POST /StudentMsg/AddServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:41:02 +0800] "GET /StudentMsg/main.jsp HTTP/1.1" 200 1046
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:41:06 +0800] "GET /StudentMsg/DELServlet?sno=1002 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2016:11:41:06 +0800] "GET /StudentMsg/main.jsp HTTP/1.1" 200 777
0:0:0:0:0:0:0:1 - - [07/Mar/2016:12:50:36 +0800] "GET /StudentMsg/login.jsp HTTP/1.1" 200 666
0:0:0:0:0:0:0:1 - - [07/Mar/2016:12:51:59 +0800] "GET /StudentMsg/DBConnectionServlet?username=yhx&userpwd=123 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2016:12:51:59 +0800] "GET /StudentMsg/index.jsp HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [07/Mar/2016:13:15:05 +0800] "GET /StudentMsg/main.jsp HTTP/1.1" 200 777
0:0:0:0:0:0:0:1 - - [07/Mar/2016:13:16:44 +0800] "GET /StudentMsg/add.jsp HTTP/1.1" 200 896
0:0:0:0:0:0:0:1 - - [07/Mar/2016:13:16:52 +0800] "GET /StudentMsg/main.jsp HTTP/1.1" 200 777
0:0:0:0:0:0:0:1 - - [07/Mar/2016:13:16:53 +0800] "GET /StudentMsg/index.jsp HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [07/Mar/2016:13:16:54 +0800] "GET /StudentMsg/course.jsp HTTP/1.1" 200 665
0:0:0:0:0:0:0:1 - - [07/Mar/2016:13:21:24 +0800] "GET /StudentMsg/index.jsp HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [07/Mar/2016:13:21:26 +0800] "GET /StudentMsg/sc.jsp HTTP/1.1" 200 665
0:0:0:0:0:0:0:1 - - [07/Mar/2016:13:21:55 +0800] "GET /StudentMsg/index.jsp HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [07/Mar/2016:13:21:56 +0800] "GET /StudentMsg/main.jsp HTTP/1.1" 200 777
